id,date,incident_type,severity,status,description,reported_by,created_at
1,2024-12-04,DDoS,Medium,Open,DDoS incident with medium severity; status currently open.,eve,2024-12-04 00:18:49
2,2025-07-15,Insider Threat,Low,Closed,Insider Threat incident with low severity; status currently closed.,ivan,2025-07-15 02:56:56
3,2025-11-22,Password Spray,Low,Mitigated,Password Spray incident with low severity; status currently mitigated.,frank,2025-11-22 02:02:16
4,2025-12-08,Insider Threat,High,Open,Insider Threat incident with high severity; status currently open.,frank,2025-12-08 07:01:19
5,2024-05-09,Insider Threat,High,Open,Insider Threat incident with high severity; status currently open.,oscar,2024-05-09 05:12:07
6,2025-06-06,Ransomware,Critical,Monitoring,Ransomware incident with critical severity; status currently monitoring.,heidi,2025-06-06 05:58:55
7,2025-02-08,Password Spray,Low,Investigating,Password Spray incident with low severity; status currently investigating.,heidi,2025-02-08 19:30:37
8,2025-08-05,Vulnerability Exploit,High,Closed,Vulnerability Exploit incident with high severity; status currently closed.,frank,2025-08-05 04:16:29
9,2025-04-23,Malware,High,Closed,Malware incident with high severity; status currently closed.,ivan,2025-04-23 12:54:27
10,2025-09-22,Ransomware,Medium,Open,Ransomware incident with medium severity; status currently open.,alice,2025-09-22 12:45:51
11,2024-05-08,Unauthorized Access,Low,Investigating,Unauthorized Access incident with low severity; status currently investigating.,grace,2024-05-08 22:37:13
12,2024-06-08,Vulnerability Exploit,Low,Closed,Vulnerability Exploit incident with low severity; status currently closed.,alice,2024-06-08 06:11:54
13,2025-06-26,Data Breach,Medium,Mitigated,Data Breach incident with medium severity; status currently mitigated.,alice,2025-06-26 02:29:35
14,2024-05-01,Vulnerability Exploit,High,Mitigated,Vulnerability Exploit incident with high severity; status currently mitigated.,eve,2024-05-01 07:13:29
15,2025-04-21,Ransomware,Medium,Closed,Ransomware incident with medium severity; status currently closed.,diana,2025-04-21 16:16:11
16,2024-12-23,Insider Threat,Low,Closed,Insider Threat incident with low severity; status currently closed.,bob,2024-12-23 04:18:15
17,2025-11-15,DDoS,Critical,Open,DDoS incident with critical severity; status currently open.,heidi,2025-11-15 13:36:31
18,2025-11-29,Brute Force,Critical,Open,Brute Force incident with critical severity; status currently open.,oscar,2025-11-29 01:33:45
19,2024-02-02,Password Spray,Medium,Investigating,Password Spray incident with medium severity; status currently investigating.,oscar,2024-02-02 03:27:42
20,2025-01-21,Ransomware,High,Open,Ransomware incident with high severity; status currently open.,mallory,2025-01-21 00:16:49
21,2025-04-14,Data Breach,High,Mitigated,Data Breach incident with high severity; status currently mitigated.,bob,2025-04-14 11:07:46
22,2024-07-22,Password Spray,Medium,Closed,Password Spray incident with medium severity; status currently closed.,alice,2024-07-22 01:39:59
23,2024-03-16,Phishing,Low,Monitoring,Phishing incident with low severity; status currently monitoring.,frank,2024-03-16 00:18:43
24,2025-07-07,Phishing,High,Open,Phishing incident with high severity; status currently open.,oscar,2025-07-07 20:47:28
25,2025-07-25,Brute Force,High,Open,Brute Force incident with high severity; status currently open.,oscar,2025-07-25 12:54:11
26,2024-05-05,Brute Force,Critical,Mitigated,Brute Force incident with critical severity; status currently mitigated.,charlie,2024-05-05 22:11:14
27,2025-12-31,Data Breach,Medium,Open,Data Breach incident with medium severity; status currently open.,oscar,2025-12-31 11:39:59
28,2024-07-19,Phishing,High,Investigating,Phishing incident with high severity; status currently investigating.,bob,2024-07-19 17:56:06
29,2025-03-15,Insider Threat,Medium,Closed,Insider Threat incident with medium severity; status currently closed.,judy,2025-03-15 16:17:26
30,2025-04-24,DDoS,Low,Closed,DDoS incident with low severity; status currently closed.,oscar,2025-04-24 12:36:40
31,2025-01-25,Phishing,Low,Mitigated,Phishing incident with low severity; status currently mitigated.,frank,2025-01-25 05:42:09
32,2025-12-26,Phishing,Medium,Investigating,Phishing incident with medium severity; status currently investigating.,bob,2025-12-26 09:58:21
33,2025-04-12,Insider Threat,Critical,Monitoring,Insider Threat incident with critical severity; status currently monitoring.,grace,2025-04-12 17:06:53
34,2025-05-08,Brute Force,Medium,Monitoring,Brute Force incident with medium severity; status currently monitoring.,alice,2025-05-08 19:27:24
35,2025-12-05,Brute Force,Medium,Closed,Brute Force incident with medium severity; status currently closed.,diana,2025-12-05 22:38:38
36,2025-03-06,Phishing,Low,Closed,Phishing incident with low severity; status currently closed.,diana,2025-03-06 11:56:11
37,2024-01-27,DDoS,High,Open,DDoS incident with high severity; status currently open.,charlie,2024-01-27 17:38:11
38,2025-11-26,DDoS,Low,Open,DDoS incident with low severity; status currently open.,alice,2025-11-26 00:04:49
39,2024-09-12,Brute Force,Medium,Mitigated,Brute Force incident with medium severity; status currently mitigated.,grace,2024-09-12 09:06:26
40,2025-12-26,Unauthorized Access,Medium,Investigating,Unauthorized Access incident with medium severity; status currently investigating.,diana,2025-12-26 08:22:10
41,2024-03-10,Insider Threat,Medium,Open,Insider Threat incident with medium severity; status currently open.,grace,2024-03-10 11:14:32
42,2025-02-04,Phishing,Low,Monitoring,Phishing incident with low severity; status currently monitoring.,bob,2025-02-04 07:57:41
43,2024-06-29,Insider Threat,High,Open,Insider Threat incident with high severity; status currently open.,diana,2024-06-29 12:11:25
44,2025-01-30,Data Breach,Medium,Investigating,Data Breach incident with medium severity; status currently investigating.,mallory,2025-01-30 02:49:11
45,2025-10-15,Phishing,High,Open,Phishing incident with high severity; status currently open.,ivan,2025-10-15 14:49:37
46,2025-09-20,DDoS,Critical,Closed,DDoS incident with critical severity; status currently closed.,oscar,2025-09-20 10:10:18
47,2025-04-02,Insider Threat,Critical,Investigating,Insider Threat incident with critical severity; status currently investigating.,bob,2025-04-02 11:49:04
48,2025-03-17,Unauthorized Access,Critical,Closed,Unauthorized Access incident with critical severity; status currently closed.,mallory,2025-03-17 22:24:10
49,2025-06-03,Insider Threat,High,Investigating,Insider Threat incident with high severity; status currently investigating.,heidi,2025-06-03 11:19:01
50,2025-11-06,Phishing,Low,Closed,Phishing incident with low severity; status currently closed.,bob,2025-11-06 23:45:11
51,2024-01-01,DDoS,High,Closed,DDoS incident with high severity; status currently closed.,heidi,2024-01-01 01:55:22
52,2025-08-15,Vulnerability Exploit,High,Open,Vulnerability Exploit incident with high severity; status currently open.,bob,2025-08-15 17:32:48
53,2025-07-27,Unauthorized Access,Low,Investigating,Unauthorized Access incident with low severity; status currently investigating.,oscar,2025-07-27 21:47:58
54,2024-02-26,Unauthorized Access,Medium,Mitigated,Unauthorized Access incident with medium severity; status currently mitigated.,ivan,2024-02-26 11:59:27
55,2025-02-10,Insider Threat,High,Investigating,Insider Threat incident with high severity; status currently investigating.,ivan,2025-02-10 06:51:34
56,2024-06-09,Brute Force,Critical,Closed,Brute Force incident with critical severity; status currently closed.,mallory,2024-06-09 12:18:47
57,2024-02-25,Unauthorized Access,High,Investigating,Unauthorized Access incident with high severity; status currently investigating.,bob,2024-02-25 16:26:02
58,2025-06-26,Insider Threat,High,Open,Insider Threat incident with high severity; status currently open.,charlie,2025-06-26 16:00:01
59,2025-08-26,Phishing,High,Monitoring,Phishing incident with high severity; status currently monitoring.,frank,2025-08-26 00:44:26
60,2024-10-06,Password Spray,Medium,Mitigated,Password Spray incident with medium severity; status currently mitigated.,mallory,2024-10-06 06:43:24
61,2024-09-21,Password Spray,High,Monitoring,Password Spray incident with high severity; status currently monitoring.,alice,2024-09-21 07:48:43
62,2025-02-05,DDoS,High,Investigating,DDoS incident with high severity; status currently investigating.,diana,2025-02-05 15:29:16
63,2024-01-13,Ransomware,Low,Mitigated,Ransomware incident with low severity; status currently mitigated.,frank,2024-01-13 01:54:38
64,2024-02-16,Insider Threat,Low,Closed,Insider Threat incident with low severity; status currently closed.,mallory,2024-02-16 17:01:58
65,2025-11-12,Phishing,High,Monitoring,Phishing incident with high severity; status currently monitoring.,mallory,2025-11-12 05:40:26
66,2025-08-01,Password Spray,High,Mitigated,Password Spray incident with high severity; status currently mitigated.,charlie,2025-08-01 16:20:18
67,2025-08-20,Insider Threat,High,Closed,Insider Threat incident with high severity; status currently closed.,alice,2025-08-20 11:04:39
68,2024-08-02,Malware,High,Closed,Malware incident with high severity; status currently closed.,diana,2024-08-02 14:15:24
69,2025-07-31,DDoS,Critical,Mitigated,DDoS incident with critical severity; status currently mitigated.,mallory,2025-07-31 10:12:28
70,2024-02-04,Password Spray,Medium,Open,Password Spray incident with medium severity; status currently open.,eve,2024-02-04 15:31:53
71,2024-08-01,Unauthorized Access,High,Mitigated,Unauthorized Access incident with high severity; status currently mitigated.,charlie,2024-08-01 13:07:38
72,2024-10-08,Vulnerability Exploit,High,Mitigated,Vulnerability Exploit incident with high severity; status currently mitigated.,diana,2024-10-08 06:42:35
73,2025-06-15,Brute Force,High,Mitigated,Brute Force incident with high severity; status currently mitigated.,ivan,2025-06-15 01:38:19
