id,dataset_name,category,source,last_updated,record_count,file_size_mb,created_at
1,user_accounts_0001,User Accounts,Manual Entry,2023-06-01,90416,294.98,2023-05-25 12:40:18
2,system_metrics_0002,System Metrics,Third-party Vendor,2023-02-08,181138,755.08,2023-01-01 09:09:45
3,security_incidents_0003,Security Incidents,API Ingestion,2023-09-12,459720,4171.84,2023-09-05 15:38:24
4,threat_intelligence_0004,Threat Intelligence,Internal ETL,2024-06-23,153952,563.64,2024-06-09 05:44:29
5,operations_0005,Operations,API Ingestion,2024-07-02,94027,793.44,2024-05-09 06:46:58
6,marketing_analytics_0006,Marketing Analytics,CSV Upload,2023-10-24,39461,347.11,2023-10-03 23:18:49
7,web_traffic_0007,Web Traffic,Manual Entry,2024-09-30,163732,1250.91,2024-08-08 18:38:33
8,security_incidents_0008,Security Incidents,Data Warehouse,2024-08-22,370019,835.18,2024-06-24 15:57:11
9,security_incidents_0009,Security Incidents,Third-party Vendor,2024-04-22,335858,560.26,2024-04-03 23:39:19
10,hr_0010,HR,Internal ETL,2024-04-06,33469,37.4,2024-03-21 17:42:14
11,user_accounts_0011,User Accounts,CSV Upload,2023-10-11,124264,1236.77,2023-10-06 18:16:46
12,web_traffic_0012,Web Traffic,SIEM Export,2023-10-18,35463,38.75,2023-09-14 08:21:58
13,system_metrics_0013,System Metrics,Internal ETL,2024-11-10,135997,946.96,2024-10-09 05:33:25
14,customer_support_0014,Customer Support,API Ingestion,2024-01-14,380890,3235.6,2023-11-27 18:47:04
15,user_accounts_0015,User Accounts,SIEM Export,2023-12-20,283956,1967.7,2023-11-15 14:32:15
16,security_incidents_0016,Security Incidents,API Ingestion,2023-12-23,301626,949.73,2023-11-08 13:18:06
17,system_metrics_0017,System Metrics,Data Warehouse,2023-09-24,178160,465.99,2023-08-28 01:33:14
18,threat_intelligence_0018,Threat Intelligence,Third-party Vendor,2024-11-07,338217,3166.53,2024-09-15 00:09:13
19,web_traffic_0019,Web Traffic,Data Warehouse,2024-06-09,341242,823.77,2024-04-17 10:34:57
20,threat_intelligence_0020,Threat Intelligence,Internal ETL,2024-05-13,24701,77.97,2024-03-26 14:53:57
21,user_accounts_0021,User Accounts,CSV Upload,2024-08-19,343565,201.57,2024-06-28 19:05:12
22,system_metrics_0022,System Metrics,SIEM Export,2023-01-03,100375,336.64,2023-01-01 03:11:52
23,user_accounts_0023,User Accounts,API Ingestion,2024-03-31,102582,546.26,2024-02-06 16:03:15
24,web_traffic_0024,Web Traffic,API Ingestion,2024-10-18,410532,2098.24,2024-10-08 09:20:37
25,web_traffic_0025,Web Traffic,Internal ETL,2023-10-13,87479,520.37,2023-09-13 22:54:06
26,system_metrics_0026,System Metrics,Data Warehouse,2023-10-31,113882,303.06,2023-10-09 21:02:04
27,web_traffic_0027,Web Traffic,Manual Entry,2024-06-21,225386,1797.03,2024-06-04 02:53:00
28,security_incidents_0028,Security Incidents,Internal ETL,2023-04-09,289623,1386.64,2023-03-27 04:37:55
29,operations_0029,Operations,SIEM Export,2023-08-16,63683,575.91,2023-08-08 18:48:45
30,marketing_analytics_0030,Marketing Analytics,CSV Upload,2024-09-21,189864,1622.82,2024-09-04 16:36:33
31,system_metrics_0031,System Metrics,Manual Entry,2023-12-06,389347,3189.98,2023-12-06 13:46:18
32,web_traffic_0032,Web Traffic,CSV Upload,2023-08-04,365519,1884.15,2023-07-22 07:23:07
33,finance_0033,Finance,Third-party Vendor,2023-10-26,42828,258.72,2023-09-19 00:21:55
34,it_tickets_0034,IT Tickets,Manual Entry,2023-11-16,85157,848.24,2023-10-14 22:59:41
35,it_tickets_0035,IT Tickets,SIEM Export,2023-04-11,170484,124.42,2023-03-04 07:22:12
36,hr_0036,HR,Data Warehouse,2024-06-29,316311,2837.4,2024-05-24 14:05:15
37,customer_support_0037,Customer Support,API Ingestion,2024-10-11,406944,2112.8,2024-08-13 14:27:54
38,web_traffic_0038,Web Traffic,Manual Entry,2024-02-20,316853,2310.32,2024-02-10 19:34:10
39,web_traffic_0039,Web Traffic,CSV Upload,2024-04-18,302093,1739.99,2024-03-17 08:05:35
40,finance_0040,Finance,Third-party Vendor,2023-04-30,173442,273.13,2023-04-06 21:13:40
41,hr_0041,HR,CSV Upload,2024-12-16,460704,735.2,2024-10-30 10:37:40
42,threat_intelligence_0042,Threat Intelligence,API Ingestion,2023-04-30,286175,2225.49,2023-04-30 05:26:55
43,operations_0043,Operations,Internal ETL,2024-08-28,336356,275.59,2024-08-15 01:21:57
44,marketing_analytics_0044,Marketing Analytics,API Ingestion,2023-05-09,484630,2897.79,2023-05-09 12:30:46
45,finance_0045,Finance,Third-party Vendor,2023-11-21,332244,1873.31,2023-10-29 15:38:52
46,system_metrics_0046,System Metrics,API Ingestion,2023-05-11,3766,33.02,2023-04-25 19:17:44
47,customer_support_0047,Customer Support,CSV Upload,2024-04-25,166584,1258.09,2024-03-07 04:25:58
48,marketing_analytics_0048,Marketing Analytics,SIEM Export,2023-01-09,277771,1294.55,2023-01-01 06:15:54
49,operations_0049,Operations,SIEM Export,2024-01-28,96943,798.05,2024-01-23 19:20:27
50,finance_0050,Finance,Internal ETL,2024-04-22,309893,1520.84,2024-03-29 10:46:18
51,hr_0051,HR,Data Warehouse,2023-02-06,112950,196.37,2023-01-30 01:26:07
52,hr_0052,HR,Data Warehouse,2024-05-27,449680,3881.21,2024-04-23 10:10:51
53,security_incidents_0053,Security Incidents,Manual Entry,2023-01-22,186511,1619.38,2023-01-01 10:40:56
54,network_logs_0054,Network Logs,Third-party Vendor,2023-12-25,416255,378.19,2023-10-27 06:41:50
55,operations_0055,Operations,SIEM Export,2023-12-22,268820,1572.95,2023-12-21 03:58:37
56,customer_support_0056,Customer Support,Internal ETL,2023-08-01,390884,2683.46,2023-07-09 23:40:51
57,hr_0057,HR,Manual Entry,2023-08-25,233092,1855.18,2023-07-19 10:15:38
58,network_logs_0058,Network Logs,Internal ETL,2024-01-27,188347,266.6,2023-12-15 12:15:01
59,system_metrics_0059,System Metrics,Manual Entry,2024-09-26,57002,130.16,2024-07-28 03:34:02
60,marketing_analytics_0060,Marketing Analytics,API Ingestion,2023-04-17,497580,1306.14,2023-04-11 18:11:40
61,customer_support_0061,Customer Support,Data Warehouse,2024-09-24,90881,781.69,2024-09-22 18:10:48
62,hr_0062,HR,API Ingestion,2023-01-14,272517,1007.35,2023-01-01 03:31:30
63,network_logs_0063,Network Logs,Internal ETL,2023-03-24,94956,336.58,2023-03-04 09:00:44
64,finance_0064,Finance,Manual Entry,2023-02-19,408090,2642.04,2023-01-01 23:59:15
65,web_traffic_0065,Web Traffic,Data Warehouse,2024-03-25,360465,665.66,2024-03-17 04:59:30
66,threat_intelligence_0066,Threat Intelligence,Internal ETL,2023-07-28,89053,52.67,2023-06-05 09:39:21
67,network_logs_0067,Network Logs,API Ingestion,2023-11-06,283459,154.73,2023-10-01 16:43:16
68,network_logs_0068,Network Logs,Third-party Vendor,2024-02-08,124687,857.57,2023-12-13 05:30:52
69,threat_intelligence_0069,Threat Intelligence,Third-party Vendor,2024-03-11,67807,518.87,2024-02-20 11:26:25
70,finance_0070,Finance,CSV Upload,2024-12-08,147594,143.32,2024-11-12 17:39:07
