id,ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to,created_at
1,TCK-00001,Medium,Open,Access,Access issue #1,Access ticket with medium priority; currently open.,2024-05-27,,eve.owens,2024-05-27 08:16:33
2,TCK-00002,Low,Open,Hardware,Hardware issue #2,Hardware ticket with low priority; currently open.,2024-04-04,,,2024-04-04 18:34:56
3,TCK-00003,Low,Resolved,Software,Software issue #3,Software ticket with low priority; currently resolved.,2024-11-10,2024-12-07,alice.smith,2024-11-10 11:33:14
4,TCK-00004,High,In Progress,Network,Network issue #4,Network ticket with high priority; currently in progress.,2024-04-22,,judy.chen,2024-04-22 11:40:28
5,TCK-00005,Low,Closed,Hardware,Hardware issue #5,Hardware ticket with low priority; currently closed.,2024-01-26,2024-02-09,charlie.khan,2024-01-26 17:43:19
6,TCK-00006,Medium,In Progress,Network,Network issue #6,Network ticket with medium priority; currently in progress.,2024-01-31,,bob.jones,2024-01-31 10:01:13
7,TCK-00007,High,Closed,Software,Software issue #7,Software ticket with high priority; currently closed.,2024-12-24,2025-01-16,charlie.khan,2024-12-24 15:52:00
8,TCK-00008,Low,Open,Hardware,Hardware issue #8,Hardware ticket with low priority; currently open.,2024-03-05,,alice.smith,2024-03-05 10:32:28
9,TCK-00009,Critical,Open,Network,Network issue #9,Network ticket with critical priority; currently open.,2024-03-25,,diana.lee,2024-03-25 10:30:50
10,TCK-00010,High,Resolved,Hardware,Hardware issue #10,Hardware ticket with high priority; currently resolved.,2024-06-10,2024-06-29,bob.jones,2024-06-10 09:23:08
11,TCK-00011,Medium,In Progress,Security,Security issue #11,Security ticket with medium priority; currently in progress.,2024-01-22,,bob.jones,2024-01-22 15:40:39
12,TCK-00012,Medium,In Progress,Network,Network issue #12,Network ticket with medium priority; currently in progress.,2024-01-29,,ivan.ali,2024-01-29 09:00:23
13,TCK-00013,Medium,Closed,Access,Access issue #13,Access ticket with medium priority; currently closed.,2024-03-01,2024-03-21,judy.chen,2024-03-01 08:19:55
14,TCK-00014,Low,Resolved,Network,Network issue #14,Network ticket with low priority; currently resolved.,2024-04-23,2024-04-26,alice.smith,2024-04-23 08:41:19
15,TCK-00015,Medium,On Hold,Hardware,Hardware issue #15,Hardware ticket with medium priority; currently on hold.,2024-03-16,,ivan.ali,2024-03-16 09:16:03
16,TCK-00016,Medium,In Progress,Security,Security issue #16,Security ticket with medium priority; currently in progress.,2024-10-24,,charlie.khan,2024-10-24 16:55:40
17,TCK-00017,Low,Resolved,Network,Network issue #17,Network ticket with low priority; currently resolved.,2024-08-07,2024-08-20,ivan.ali,2024-08-07 12:22:17
18,TCK-00018,High,Open,Security,Security issue #18,Security ticket with high priority; currently open.,2024-12-19,,,2024-12-19 08:43:40
19,TCK-00019,Medium,In Progress,Other,Other issue #19,Other ticket with medium priority; currently in progress.,2024-11-08,,heidi.ng,2024-11-08 13:06:33
20,TCK-00020,High,In Progress,Security,Security issue #20,Security ticket with high priority; currently in progress.,2024-04-04,,heidi.ng,2024-04-04 08:47:26
21,TCK-00021,Low,In Progress,Network,Network issue #21,Network ticket with low priority; currently in progress.,2024-11-07,,bob.jones,2024-11-07 10:19:07
22,TCK-00022,High,Closed,Security,Security issue #22,Security ticket with high priority; currently closed.,2024-05-23,2024-06-21,grace.patel,2024-05-23 14:57:39
23,TCK-00023,High,Resolved,Software,Software issue #23,Software ticket with high priority; currently resolved.,2024-08-22,2024-09-10,heidi.ng,2024-08-22 18:12:26
24,TCK-00024,High,Closed,Network,Network issue #24,Network ticket with high priority; currently closed.,2024-06-04,2024-06-29,frank.wong,2024-06-04 11:02:05
25,TCK-00025,High,Closed,Other,Other issue #25,Other ticket with high priority; currently closed.,2024-10-26,2024-11-16,grace.patel,2024-10-26 12:09:43
26,TCK-00026,High,Open,Security,Security issue #26,Security ticket with high priority; currently open.,2024-12-14,,judy.chen,2024-12-14 08:20:05
27,TCK-00027,Medium,On Hold,Other,Other issue #27,Other ticket with medium priority; currently on hold.,2024-08-14,,frank.wong,2024-08-14 16:31:24
28,TCK-00028,High,On Hold,Other,Other issue #28,Other ticket with high priority; currently on hold.,2024-12-27,,alice.smith,2024-12-27 08:55:17
29,TCK-00029,Medium,Resolved,Other,Other issue #29,Other ticket with medium priority; currently resolved.,2024-06-19,2024-07-02,charlie.khan,2024-06-19 10:39:20
30,TCK-00030,High,In Progress,Security,Security issue #30,Security ticket with high priority; currently in progress.,2024-11-08,,heidi.ng,2024-11-08 15:31:48
31,TCK-00031,High,Closed,Hardware,Hardware issue #31,Hardware ticket with high priority; currently closed.,2024-06-18,2024-07-15,heidi.ng,2024-06-18 17:45:36
32,TCK-00032,Low,Open,Hardware,Hardware issue #32,Hardware ticket with low priority; currently open.,2024-11-01,,alice.smith,2024-11-01 12:41:27
33,TCK-00033,Medium,In Progress,Hardware,Hardware issue #33,Hardware ticket with medium priority; currently in progress.,2024-06-28,,heidi.ng,2024-06-28 11:07:11
34,TCK-00034,High,Resolved,Network,Network issue #34,Network ticket with high priority; currently resolved.,2024-06-09,2024-06-09,diana.lee,2024-06-09 17:18:37
35,TCK-00035,Medium,In Progress,Security,Security issue #35,Security ticket with medium priority; currently in progress.,2024-06-28,,charlie.khan,2024-06-28 16:46:35
36,TCK-00036,Medium,Resolved,Software,Software issue #36,Software ticket with medium priority; currently resolved.,2024-07-09,2024-08-08,judy.chen,2024-07-09 15:49:21
37,TCK-00037,Medium,Closed,Access,Access issue #37,Access ticket with medium priority; currently closed.,2024-03-25,2024-04-20,eve.owens,2024-03-25 10:01:05
38,TCK-00038,Critical,Resolved,Software,Software issue #38,Software ticket with critical priority; currently resolved.,2024-07-04,2024-07-26,frank.wong,2024-07-04 10:48:28
39,TCK-00039,Medium,In Progress,Network,Network issue #39,Network ticket with medium priority; currently in progress.,2024-11-14,,alice.smith,2024-11-14 17:12:43
40,TCK-00040,Critical,Open,Other,Other issue #40,Other ticket with critical priority; currently open.,2024-04-20,,alice.smith,2024-04-20 09:46:53
41,TCK-00041,Critical,Resolved,Hardware,Hardware issue #41,Hardware ticket with critical priority; currently resolved.,2024-06-19,2024-07-05,eve.owens,2024-06-19 18:13:42
42,TCK-00042,High,Open,Hardware,Hardware issue #42,Hardware ticket with high priority; currently open.,2024-04-17,,,2024-04-17 12:27:55
43,TCK-00043,Medium,In Progress,Access,Access issue #43,Access ticket with medium priority; currently in progress.,2024-07-12,,diana.lee,2024-07-12 12:19:26
44,TCK-00044,Low,Closed,Hardware,Hardware issue #44,Hardware ticket with low priority; currently closed.,2024-11-19,2024-12-11,alice.smith,2024-11-19 12:31:26
45,TCK-00045,Medium,Closed,Hardware,Hardware issue #45,Hardware ticket with medium priority; currently closed.,2024-06-16,2024-07-08,frank.wong,2024-06-16 14:23:06
46,TCK-00046,High,In Progress,Access,Access issue #46,Access ticket with high priority; currently in progress.,2024-11-14,,diana.lee,2024-11-14 12:29:20
47,TCK-00047,Low,Resolved,Software,Software issue #47,Software ticket with low priority; currently resolved.,2024-05-05,2024-05-09,grace.patel,2024-05-05 17:47:32
48,TCK-00048,Low,On Hold,Security,Security issue #48,Security ticket with low priority; currently on hold.,2024-09-11,,frank.wong,2024-09-11 13:07:49
49,TCK-00049,Medium,Resolved,Hardware,Hardware issue #49,Hardware ticket with medium priority; currently resolved.,2024-09-22,2024-10-19,ivan.ali,2024-09-22 09:07:35
50,TCK-00050,High,Resolved,Access,Access issue #50,Access ticket with high priority; currently resolved.,2024-03-01,2024-03-16,ivan.ali,2024-03-01 09:44:24
51,TCK-00051,Medium,Resolved,Security,Security issue #51,Security ticket with medium priority; currently resolved.,2024-02-17,2024-03-14,diana.lee,2024-02-17 10:55:15
52,TCK-00052,Medium,Closed,Security,Security issue #52,Security ticket with medium priority; currently closed.,2024-04-29,2024-05-08,alice.smith,2024-04-29 09:32:56
53,TCK-00053,Medium,Resolved,Other,Other issue #53,Other ticket with medium priority; currently resolved.,2024-10-10,2024-10-17,alice.smith,2024-10-10 12:06:51
54,TCK-00054,Medium,On Hold,Access,Access issue #54,Access ticket with medium priority; currently on hold.,2024-12-05,,grace.patel,2024-12-05 13:43:27
55,TCK-00055,Medium,Open,Access,Access issue #55,Access ticket with medium priority; currently open.,2024-01-10,,,2024-01-10 10:12:19
56,TCK-00056,High,Open,Hardware,Hardware issue #56,Hardware ticket with high priority; currently open.,2024-05-14,,heidi.ng,2024-05-14 14:07:34
57,TCK-00057,Critical,Resolved,Software,Software issue #57,Software ticket with critical priority; currently resolved.,2024-05-19,2024-05-26,grace.patel,2024-05-19 09:20:29
58,TCK-00058,Medium,Closed,Security,Security issue #58,Security ticket with medium priority; currently closed.,2024-01-24,2024-02-11,heidi.ng,2024-01-24 14:20:46
59,TCK-00059,Low,In Progress,Access,Access issue #59,Access ticket with low priority; currently in progress.,2024-02-12,,bob.jones,2024-02-12 08:05:28
60,TCK-00060,Medium,Open,Software,Software issue #60,Software ticket with medium priority; currently open.,2024-04-07,,,2024-04-07 13:03:19
61,TCK-00061,High,On Hold,Network,Network issue #61,Network ticket with high priority; currently on hold.,2024-10-12,,judy.chen,2024-10-12 09:35:56
62,TCK-00062,Low,Closed,Other,Other issue #62,Other ticket with low priority; currently closed.,2024-05-20,2024-05-21,grace.patel,2024-05-20 18:47:55
63,TCK-00063,Medium,On Hold,Security,Security issue #63,Security ticket with medium priority; currently on hold.,2024-02-22,,heidi.ng,2024-02-22 16:17:59
64,TCK-00064,Critical,Closed,Network,Network issue #64,Network ticket with critical priority; currently closed.,2024-08-20,2024-09-19,eve.owens,2024-08-20 14:55:18
65,TCK-00065,Low,In Progress,Access,Access issue #65,Access ticket with low priority; currently in progress.,2024-05-30,,bob.jones,2024-05-30 16:29:13
66,TCK-00066,High,On Hold,Access,Access issue #66,Access ticket with high priority; currently on hold.,2024-05-16,,heidi.ng,2024-05-16 18:24:39
67,TCK-00067,Low,Open,Software,Software issue #67,Software ticket with low priority; currently open.,2024-05-19,,eve.owens,2024-05-19 18:10:40
68,TCK-00068,Low,Closed,Access,Access issue #68,Access ticket with low priority; currently closed.,2024-02-14,2024-02-27,ivan.ali,2024-02-14 09:43:33
69,TCK-00069,Medium,Closed,Hardware,Hardware issue #69,Hardware ticket with medium priority; currently closed.,2024-03-04,2024-03-04,judy.chen,2024-03-04 15:12:25
70,TCK-00070,Low,Closed,Security,Security issue #70,Security ticket with low priority; currently closed.,2024-05-09,2024-05-28,alice.smith,2024-05-09 15:25:11
71,TCK-00071,High,Closed,Access,Access issue #71,Access ticket with high priority; currently closed.,2024-05-03,2024-05-03,eve.owens,2024-05-03 17:58:26
72,TCK-00072,High,Closed,Other,Other issue #72,Other ticket with high priority; currently closed.,2024-01-02,2024-01-09,alice.smith,2024-01-02 08:17:42
73,TCK-00073,Critical,Resolved,Software,Software issue #73,Software ticket with critical priority; currently resolved.,2024-11-02,2024-11-25,frank.wong,2024-11-02 11:43:43
74,TCK-00074,High,Resolved,Security,Security issue #74,Security ticket with high priority; currently resolved.,2024-12-25,2024-12-25,grace.patel,2024-12-25 17:13:13
75,TCK-00075,Low,Closed,Hardware,Hardware issue #75,Hardware ticket with low priority; currently closed.,2024-10-29,2024-11-13,diana.lee,2024-10-29 16:56:17
76,TCK-00076,High,Resolved,Software,Software issue #76,Software ticket with high priority; currently resolved.,2024-11-17,2024-12-04,bob.jones,2024-11-17 13:39:40
77,TCK-00077,Low,Open,Software,Software issue #77,Software ticket with low priority; currently open.,2024-12-02,,charlie.khan,2024-12-02 13:25:09
78,TCK-00078,Low,Resolved,Software,Software issue #78,Software ticket with low priority; currently resolved.,2024-02-28,2024-03-18,grace.patel,2024-02-28 11:35:51
79,TCK-00079,Critical,Open,Hardware,Hardware issue #79,Hardware ticket with critical priority; currently open.,2024-03-11,,heidi.ng,2024-03-11 18:39:51
80,TCK-00080,Low,Open,Hardware,Hardware issue #80,Hardware ticket with low priority; currently open.,2024-12-25,,,2024-12-25 18:03:07
81,TCK-00081,Critical,In Progress,Software,Software issue #81,Software ticket with critical priority; currently in progress.,2024-05-13,,alice.smith,2024-05-13 13:58:11
82,TCK-00082,High,Resolved,Access,Access issue #82,Access ticket with high priority; currently resolved.,2024-09-20,2024-09-30,frank.wong,2024-09-20 11:08:23
83,TCK-00083,High,Resolved,Network,Network issue #83,Network ticket with high priority; currently resolved.,2024-09-16,2024-09-20,grace.patel,2024-09-16 10:51:30
84,TCK-00084,Medium,Resolved,Software,Software issue #84,Software ticket with medium priority; currently resolved.,2024-01-09,2024-01-19,grace.patel,2024-01-09 15:37:21
85,TCK-00085,High,Resolved,Security,Security issue #85,Security ticket with high priority; currently resolved.,2024-04-10,2024-04-10,bob.jones,2024-04-10 15:15:58
86,TCK-00086,Medium,In Progress,Other,Other issue #86,Other ticket with medium priority; currently in progress.,2024-06-24,,judy.chen,2024-06-24 10:11:59
87,TCK-00087,Medium,In Progress,Hardware,Hardware issue #87,Hardware ticket with medium priority; currently in progress.,2024-01-21,,diana.lee,2024-01-21 17:25:10
88,TCK-00088,High,Open,Network,Network issue #88,Network ticket with high priority; currently open.,2024-01-14,,,2024-01-14 09:31:50
89,TCK-00089,Medium,In Progress,Access,Access issue #89,Access ticket with medium priority; currently in progress.,2024-09-08,,eve.owens,2024-09-08 12:45:05
90,TCK-00090,Low,Closed,Network,Network issue #90,Network ticket with low priority; currently closed.,2024-08-01,2024-08-03,grace.patel,2024-08-01 14:58:12
91,TCK-00091,High,In Progress,Hardware,Hardware issue #91,Hardware ticket with high priority; currently in progress.,2024-11-06,,judy.chen,2024-11-06 11:52:46
92,TCK-00092,Low,Resolved,Software,Software issue #92,Software ticket with low priority; currently resolved.,2024-10-15,2024-10-24,ivan.ali,2024-10-15 09:56:08
93,TCK-00093,Low,Resolved,Hardware,Hardware issue #93,Hardware ticket with low priority; currently resolved.,2024-02-10,2024-02-18,grace.patel,2024-02-10 16:46:00
94,TCK-00094,Medium,In Progress,Access,Access issue #94,Access ticket with medium priority; currently in progress.,2024-01-13,,heidi.ng,2024-01-13 11:19:48
95,TCK-00095,Medium,Open,Access,Access issue #95,Access ticket with medium priority; currently open.,2024-03-12,,judy.chen,2024-03-12 11:23:05
96,TCK-00096,Low,In Progress,Software,Software issue #96,Software ticket with low priority; currently in progress.,2024-04-24,,eve.owens,2024-04-24 12:54:41
